,Date,ISIN,Security Description,Indicative Value Of Aggregate Holding Of FPIS (INR CR#),Outstanding Position Of Govt# Securities (INR CR#),Sec Holdings (%)
9438,20-May-2019,IN0020150044,08.13 GS 2045,265.00000,98000.00000,0.27
9439,20-May-2019,IN0020100031,08.30 GS 2040,178.25000,90000.00000,0.20
9440,20-May-2019,IN0020092071,GOI FRB 2020,15.00000,13000.00000,0.12
9441,20-May-2019,IN0020090042,06.90 GS 2019,30.36300,42840.00000,0.07
9442,20-May-2019,IN0020070044,08.32 GS 2032,55.00000,89434.05000,0.06
9443,20-May-2019,IN0020160092,06.62 GS 2051,30.00000,55000.00000,0.05
9444,20-May-2019,IN0020000025,10.70 GS 2020,1.55000,6000.00000,0.03
9445,20-May-2019,IN0020060086,08.28 GS 2032,30.00000,90687.11000,0.03
9446,17-May-2019,IN0020060078,08.24 GS 2027,5766.05500,111388.55000,5.18
9447,17-May-2019,IN0020150093,07.59 GS 2026,5862.90400,119000.00000,4.93
9448,17-May-2019,IN0020070051,08.13 GS 2022,3384.70000,70495.28000,4.80
9449,17-May-2019,IN0020120039,08.33 GS 2026,4124.51000,90000.00000,4.58
9450,17-May-2019,IN0020140045,08.40 GS 2024,4065.96100,90000.00000,4.52
9451,17-May-2019,IN0020150036,07.72 GS 2025,3561.73400,90031.81400,3.96
9452,17-May-2019,IN0020140060,08.15 GS 2026,3260.58000,86489.20600,3.77
9453,17-May-2019,IN0020150028,07.88 GS 2030,3325.01100,89000.00000,3.74
9454,17-May-2019,IN0020160050,06.84 GS 2022,3550.98100,99000.00000,3.59
9455,17-May-2019,IN0020120054,08.12 GS 2020,2563.19900,76000.00000,3.37
9456,17-May-2019,IN0020180470,07.00 GS 2021,640.00000,21000.00000,3.05
9457,17-May-2019,IN0020070069,08.28 GS 2027,2650.53300,90000.72100,2.95
9458,17-May-2019,IN0020180454,07.26 GS 2029,1326.24100,46864.70200,2.83
9459,17-May-2019,IN0020140029,08.27 GS 2020,1951.09200,73000.00000,2.67
9460,17-May-2019,IN0020120047,08.20 GS 2025,2252.91000,90000.00000,2.50
9461,17-May-2019,IN0020110071,08.19 GS 2020,1498.23300,74000.00000,2.02
9462,17-May-2019,IN0020020171,06.35 GS 2020,1200.01400,61000.00000,1.97
9463,17-May-2019,IN0020130079,09.23 GS 2043,1537.00000,79472.28000,1.93
9464,17-May-2019,IN0020160019,07.61 GS 2030,1636.22400,85000.00000,1.92
9465,17-May-2019,IN0020060318,07.94 GS 2021,858.80000,49425.00000,1.74
9466,17-May-2019,IN0020090034,07.35 GS 2024,1226.12800,90168.02200,1.36
9467,17-May-2019,IN0020100015,07.80 GS 2020,978.93000,75000.00000,1.31
9468,17-May-2019,IN0020160035,06.97 GS 2026,1125.49300,91578.39300,1.23
9469,17-May-2019,IN0020160100,06.57 GS 2033,690.00000,66655.88700,1.04
9470,17-May-2019,IN0020120062,08.30 GS 2042,1074.15000,104529.44000,1.03
9471,17-May-2019,IN0020170042,06.68 GS 2031,876.57200,93251.70300,0.94
9472,17-May-2019,IN0020150051,07.73 GS 2034,911.80700,100000.00000,0.91
9473,17-May-2019,IN0020020106,07.95 GS 2032,980.35000,121000.00000,0.81
9474,17-May-2019,IN0020150069,07.59 GS 2029,756.75800,96236.79300,0.79
9475,17-May-2019,IN0020070036,08.26 GS 2027,560.00000,73728.00600,0.76
9476,17-May-2019,IN0020160068,07.06 GS 2046,747.23000,100000.00000,0.75
9477,17-May-2019,IN0020110055,08.97 GS 2030,666.50000,90000.00000,0.74
9478,17-May-2019,IN0020110063,08.83 GS 2041,627.50000,90000.00000,0.70
9479,17-May-2019,IN0020140078,08.17 GS 2044,598.38500,97000.00000,0.62
9480,17-May-2019,IN0020160118,06.79 GS 2029,638.68000,118801.12300,0.54
9481,17-May-2019,IN0020190016,07.27 GS 2026,42.00000,8000.00000,0.53
9482,17-May-2019,IN0020130053,09.20 GS 2030,270.05100,61884.55000,0.44
9483,17-May-2019,IN0020140052,08.24 GS 2033,389.11500,99275.00000,0.39
9484,17-May-2019,IN0020180017,06.65 GS 2020,149.00000,43545.96100,0.34
9485,17-May-2019,IN0020150044,08.13 GS 2045,265.00000,98000.00000,0.27
9486,17-May-2019,IN0020100031,08.30 GS 2040,178.25000,90000.00000,0.20
9487,17-May-2019,IN0020092071,GOI FRB 2020,15.00000,13000.00000,0.12
9488,17-May-2019,IN0020090042,06.90 GS 2019,30.36300,42840.00000,0.07
9489,17-May-2019,IN0020070044,08.32 GS 2032,55.00000,89434.05000,0.06
9490,17-May-2019,IN0020160092,06.62 GS 2051,30.00000,55000.00000,0.05
9491,17-May-2019,IN0020060086,08.28 GS 2032,30.00000,90687.11000,0.03
9492,17-May-2019,IN0020000025,10.70 GS 2020,1.55000,6000.00000,0.03
9493,16-May-2019,IN0020060078,08.24 GS 2027,5766.05500,111388.55000,5.18
9494,16-May-2019,IN0020150093,07.59 GS 2026,5862.90400,119000.00000,4.93
9495,16-May-2019,IN0020070051,08.13 GS 2022,3384.70000,70495.28000,4.80
9496,16-May-2019,IN0020120039,08.33 GS 2026,4124.51000,90000.00000,4.58
9497,16-May-2019,IN0020140045,08.40 GS 2024,4065.96100,90000.00000,4.52
9498,16-May-2019,IN0020150036,07.72 GS 2025,3561.73400,90031.81400,3.96
9499,16-May-2019,IN0020140060,08.15 GS 2026,3260.58000,86489.20600,3.77
9500,16-May-2019,IN0020150028,07.88 GS 2030,3325.01100,89000.00000,3.74
9501,16-May-2019,IN0020160050,06.84 GS 2022,3550.98100,99000.00000,3.59
9502,16-May-2019,IN0020120054,08.12 GS 2020,2563.19900,76000.00000,3.37
9503,16-May-2019,IN0020180470,07.00 GS 2021,640.00000,21000.00000,3.05
9504,16-May-2019,IN0020070069,08.28 GS 2027,2650.53300,90000.72100,2.95
9505,16-May-2019,IN0020180454,07.26 GS 2029,1326.24100,46864.70200,2.83
9506,16-May-2019,IN0020140029,08.27 GS 2020,1951.09200,73000.00000,2.67
9507,16-May-2019,IN0020120047,08.20 GS 2025,2252.91000,90000.00000,2.50
9508,16-May-2019,IN0020110071,08.19 GS 2020,1498.23300,74000.00000,2.02
9509,16-May-2019,IN0020020171,06.35 GS 2020,1200.01400,61000.00000,1.97
9510,16-May-2019,IN0020130079,09.23 GS 2043,1537.00000,79472.28000,1.93
9511,16-May-2019,IN0020160019,07.61 GS 2030,1636.22400,85000.00000,1.92
9512,16-May-2019,IN0020060318,07.94 GS 2021,858.80000,49425.00000,1.74
9513,16-May-2019,IN0020090034,07.35 GS 2024,1226.12800,90168.02200,1.36
9514,16-May-2019,IN0020100015,07.80 GS 2020,978.93000,75000.00000,1.31
9515,16-May-2019,IN0020160035,06.97 GS 2026,1125.49300,91578.39300,1.23
9516,16-May-2019,IN0020160100,06.57 GS 2033,690.00000,66655.88700,1.04
9517,16-May-2019,IN0020120062,08.30 GS 2042,1074.15000,104529.44000,1.03
9518,16-May-2019,IN0020170042,06.68 GS 2031,876.57200,93251.70300,0.94
9519,16-May-2019,IN0020150051,07.73 GS 2034,911.80700,100000.00000,0.91
9520,16-May-2019,IN0020020106,07.95 GS 2032,980.35000,121000.00000,0.81
9521,16-May-2019,IN0020150069,07.59 GS 2029,756.75800,96236.79300,0.79
9522,16-May-2019,IN0020070036,08.26 GS 2027,560.00000,73728.00600,0.76
9523,16-May-2019,IN0020160068,07.06 GS 2046,747.23000,100000.00000,0.75
9524,16-May-2019,IN0020110055,08.97 GS 2030,666.50000,90000.00000,0.74
9525,16-May-2019,IN0020110063,08.83 GS 2041,627.50000,90000.00000,0.70
9526,16-May-2019,IN0020140078,08.17 GS 2044,598.38500,97000.00000,0.62
9527,16-May-2019,IN0020160118,06.79 GS 2029,626.98000,118801.12300,0.53
9528,16-May-2019,IN0020130053,09.20 GS 2030,270.05100,61884.55000,0.44
9529,16-May-2019,IN0020140052,08.24 GS 2033,389.11500,99275.00000,0.39
9530,16-May-2019,IN0020180017,06.65 GS 2020,149.00000,43545.96100,0.34
9531,16-May-2019,IN0020190016,07.27 GS 2026,25.00000,8000.00000,0.31
9532,16-May-2019,IN0020150044,08.13 GS 2045,265.00000,98000.00000,0.27
9533,16-May-2019,IN0020100031,08.30 GS 2040,178.25000,90000.00000,0.20
9534,16-May-2019,IN0020092071,GOI FRB 2020,15.00000,13000.00000,0.12
9535,16-May-2019,IN0020090042,06.90 GS 2019,30.36300,42840.00000,0.07
9536,16-May-2019,IN0020070044,08.32 GS 2032,55.00000,89434.05000,0.06
9537,16-May-2019,IN0020160092,06.62 GS 2051,30.00000,55000.00000,0.05
9538,16-May-2019,IN0020000025,10.70 GS 2020,1.55000,6000.00000,0.03
9539,16-May-2019,IN0020060086,08.28 GS 2032,30.00000,90687.11000,0.03
9540,15-May-2019,IN0020060078,08.24 GS 2027,5766.05500,111388.55000,5.18
9541,15-May-2019,IN0020150093,07.59 GS 2026,5862.90400,119000.00000,4.93
9542,15-May-2019,IN0020070051,08.13 GS 2022,3384.70000,70495.28000,4.80
9543,15-May-2019,IN0020120039,08.33 GS 2026,4124.51000,90000.00000,4.58
9544,15-May-2019,IN0020140045,08.40 GS 2024,4065.96100,90000.00000,4.52
9545,15-May-2019,IN0020150036,07.72 GS 2025,3561.73400,90031.81400,3.96
9546,15-May-2019,IN0020140060,08.15 GS 2026,3260.58000,86489.20600,3.77
9547,15-May-2019,IN0020150028,07.88 GS 2030,3325.01100,89000.00000,3.74
9548,15-May-2019,IN0020160050,06.84 GS 2022,3550.98100,99000.00000,3.59
9549,15-May-2019,IN0020120054,08.12 GS 2020,2563.19900,76000.00000,3.37
9550,15-May-2019,IN0020070069,08.28 GS 2027,2650.53300,90000.72100,2.95
9551,15-May-2019,IN0020180470,07.00 GS 2021,615.00000,21000.00000,2.93
9552,15-May-2019,IN0020180454,07.26 GS 2029,1326.24100,46864.70200,2.83
9553,15-May-2019,IN0020140029,08.27 GS 2020,1951.09200,73000.00000,2.67
9554,15-May-2019,IN0020120047,08.20 GS 2025,2252.91000,90000.00000,2.50
9555,15-May-2019,IN0020110071,08.19 GS 2020,1498.23300,74000.00000,2.02
9556,15-May-2019,IN0020020171,06.35 GS 2020,1200.01400,61000.00000,1.97
9557,15-May-2019,IN0020130079,09.23 GS 2043,1537.00000,79472.28000,1.93
9558,15-May-2019,IN0020160019,07.61 GS 2030,1636.22400,85000.00000,1.92
9559,15-May-2019,IN0020060318,07.94 GS 2021,858.80000,49425.00000,1.74
9560,15-May-2019,IN0020090034,07.35 GS 2024,1226.12800,90168.02200,1.36
9561,15-May-2019,IN0020100015,07.80 GS 2020,978.93000,75000.00000,1.31
9562,15-May-2019,IN0020160035,06.97 GS 2026,1125.49300,91578.39300,1.23
9563,15-May-2019,IN0020160100,06.57 GS 2033,690.00000,66655.88700,1.04
9564,15-May-2019,IN0020120062,08.30 GS 2042,1074.15000,104529.44000,1.03
9565,15-May-2019,IN0020170042,06.68 GS 2031,876.57200,93251.70300,0.94
9566,15-May-2019,IN0020150051,07.73 GS 2034,911.80700,100000.00000,0.91
9567,15-May-2019,IN0020050012,07.40 GS 2035,799.20000,99245.00000,0.81
9568,15-May-2019,IN0020020106,07.95 GS 2032,940.35000,121000.00000,0.78
9569,15-May-2019,IN0020070036,08.26 GS 2027,560.00000,73728.00600,0.76
9570,15-May-2019,IN0020160068,07.06 GS 2046,747.23000,100000.00000,0.75
9571,15-May-2019,IN0020110055,08.97 GS 2030,666.50000,90000.00000,0.74
9572,15-May-2019,IN0020110063,08.83 GS 2041,627.50000,90000.00000,0.70
9573,15-May-2019,IN0020140078,08.17 GS 2044,598.38500,97000.00000,0.62
9574,15-May-2019,IN0020160118,06.79 GS 2029,626.98000,118801.12300,0.53
9575,15-May-2019,IN0020130053,09.20 GS 2030,270.05100,61884.55000,0.44
9576,15-May-2019,IN0020140052,08.24 GS 2033,389.11500,99275.00000,0.39
9577,15-May-2019,IN0020180017,06.65 GS 2020,149.00000,43545.96100,0.34
9578,15-May-2019,IN0020190016,07.27 GS 2026,25.00000,8000.00000,0.31
9579,15-May-2019,IN0020150044,08.13 GS 2045,265.00000,98000.00000,0.27
9580,15-May-2019,IN0020100031,08.30 GS 2040,178.25000,90000.00000,0.20
9581,15-May-2019,IN0020092071,GOI FRB 2020,15.00000,13000.00000,0.12
9582,15-May-2019,IN0020090042,06.90 GS 2019,30.36300,42840.00000,0.07
9583,15-May-2019,IN0020070044,08.32 GS 2032,55.00000,89434.05000,0.06
9584,15-May-2019,IN0020160092,06.62 GS 2051,30.00000,55000.00000,0.05
9585,15-May-2019,IN0020000025,10.70 GS 2020,1.55000,6000.00000,0.03
9586,15-May-2019,IN0020060086,08.28 GS 2032,30.00000,90687.11000,0.03
9587,14-May-2019,IN0020060078,08.24 GS 2027,5766.05500,111388.55000,5.18
9588,14-May-2019,IN0020150093,07.59 GS 2026,5862.90400,119000.00000,4.93
9589,14-May-2019,IN0020070051,08.13 GS 2022,3384.70000,70495.28000,4.80
9590,14-May-2019,IN0020120039,08.33 GS 2026,4124.51000,90000.00000,4.58
9591,14-May-2019,IN0020140045,08.40 GS 2024,4065.96100,90000.00000,4.52
9592,14-May-2019,IN0020150036,07.72 GS 2025,3561.73400,90031.81400,3.96
9593,14-May-2019,IN0020140060,08.15 GS 2026,3260.58000,86489.20600,3.77
9594,14-May-2019,IN0020150028,07.88 GS 2030,3325.01100,89000.00000,3.74
9595,14-May-2019,IN0020160050,06.84 GS 2022,3620.98100,99000.00000,3.66
9596,14-May-2019,IN0020120054,08.12 GS 2020,2563.19900,76000.00000,3.37
9597,14-May-2019,IN0020070069,08.28 GS 2027,2650.53300,90000.72100,2.95
9598,14-May-2019,IN0020180454,07.26 GS 2029,1326.24100,46864.70200,2.83
9599,14-May-2019,IN0020140029,08.27 GS 2020,1951.09200,73000.00000,2.67
9600,14-May-2019,IN0020130038,07.28 GS 2019,1070.07900,41188.00000,2.60
9601,14-May-2019,IN0020060318,07.94 GS 2021,1158.80000,49425.00000,2.34
9602,14-May-2019,IN0020110071,08.19 GS 2020,1498.23300,74000.00000,2.02
9603,14-May-2019,IN0020020171,06.35 GS 2020,1200.01400,61000.00000,1.97
9604,14-May-2019,IN0020130079,09.23 GS 2043,1537.00000,79472.28000,1.93
9605,14-May-2019,IN0020160019,07.61 GS 2030,1636.22400,85000.00000,1.92
9606,14-May-2019,IN0020180470,07.00 GS 2021,315.00000,21000.00000,1.50
9607,14-May-2019,IN0020090034,07.35 GS 2024,1226.12800,90168.02200,1.36
9608,14-May-2019,IN0020100015,07.80 GS 2020,978.93000,75000.00000,1.31
9609,14-May-2019,IN0020160035,06.97 GS 2026,1125.49300,91578.39300,1.23
9610,14-May-2019,IN0020160100,06.57 GS 2033,690.00000,66655.88700,1.04
9611,14-May-2019,IN0020120062,08.30 GS 2042,1074.15000,104529.44000,1.03
9612,14-May-2019,IN0020170042,06.68 GS 2031,876.57200,93251.70300,0.94
9613,14-May-2019,IN0020150051,07.73 GS 2034,911.80700,100000.00000,0.91
9614,14-May-2019,IN0020050012,07.40 GS 2035,799.20000,99245.00000,0.81
9615,14-May-2019,IN0020020106,07.95 GS 2032,940.35000,121000.00000,0.78
9616,14-May-2019,IN0020070036,08.26 GS 2027,560.00000,73728.00600,0.76
9617,14-May-2019,IN0020160068,07.06 GS 2046,747.23000,100000.00000,0.75
9618,14-May-2019,IN0020110055,08.97 GS 2030,666.50000,90000.00000,0.74
9619,14-May-2019,IN0020110063,08.83 GS 2041,627.50000,90000.00000,0.70
9620,14-May-2019,IN0020140078,08.17 GS 2044,598.38500,97000.00000,0.62
9621,14-May-2019,IN0020160118,06.79 GS 2029,626.98000,118801.12300,0.53
9622,14-May-2019,IN0020130053,09.20 GS 2030,270.05100,61884.55000,0.44
9623,14-May-2019,IN0020140052,08.24 GS 2033,389.11500,99275.00000,0.39
9624,14-May-2019,IN0020180017,06.65 GS 2020,149.00000,43545.96100,0.34
9625,14-May-2019,IN0020190016,07.27 GS 2026,25.00000,8000.00000,0.31
9626,14-May-2019,IN0020150044,08.13 GS 2045,265.00000,98000.00000,0.27
9627,14-May-2019,IN0020100031,08.30 GS 2040,178.25000,90000.00000,0.20
9628,14-May-2019,IN0020092071,GOI FRB 2020,15.00000,13000.00000,0.12
9629,14-May-2019,IN0020090042,06.90 GS 2019,30.36300,42840.00000,0.07
9630,14-May-2019,IN0020070044,08.32 GS 2032,55.00000,89434.05000,0.06
9631,14-May-2019,IN0020160092,06.62 GS 2051,30.00000,55000.00000,0.05
9632,14-May-2019,IN0020000025,10.70 GS 2020,1.55000,6000.00000,0.03
9633,14-May-2019,IN0020060086,08.28 GS 2032,30.00000,90687.11000,0.03
9634,13-May-2019,IN0020060078,08.24 GS 2027,5766.05500,111388.55000,5.18
9635,13-May-2019,IN0020150093,07.59 GS 2026,5862.90400,119000.00000,4.93
9636,13-May-2019,IN0020070051,08.13 GS 2022,3384.70000,70495.28000,4.80
9637,13-May-2019,IN0020120039,08.33 GS 2026,4124.51000,90000.00000,4.58
9638,13-May-2019,IN0020140045,08.40 GS 2024,4065.96100,90000.00000,4.52
9639,13-May-2019,IN0020150036,07.72 GS 2025,3561.73400,90031.81400,3.96
9640,13-May-2019,IN0020140060,08.15 GS 2026,3260.58000,86489.20600,3.77
9641,13-May-2019,IN0020150028,07.88 GS 2030,3325.01100,89000.00000,3.74
9642,13-May-2019,IN0020160050,06.84 GS 2022,3614.98100,99000.00000,3.65
9643,13-May-2019,IN0020120054,08.12 GS 2020,2563.19900,76000.00000,3.37
9644,13-May-2019,IN0020070069,08.28 GS 2027,2650.53300,90000.72100,2.95
9645,13-May-2019,IN0020140029,08.27 GS 2020,1951.09200,73000.00000,2.67
9646,13-May-2019,IN0020130038,07.28 GS 2019,1070.07900,41188.00000,2.60
9647,13-May-2019,IN0020120047,08.20 GS 2025,2252.91000,90000.00000,2.50
9648,13-May-2019,IN0020110071,08.19 GS 2020,1498.23300,74000.00000,2.02
9649,13-May-2019,IN0020020171,06.35 GS 2020,1200.01400,61000.00000,1.97
9650,13-May-2019,IN0020130079,09.23 GS 2043,1537.00000,79472.28000,1.93
9651,13-May-2019,IN0020160019,07.61 GS 2030,1636.22400,85000.00000,1.92
9652,13-May-2019,IN0020180454,07.26 GS 2029,826.24100,46864.70200,1.76
9653,13-May-2019,IN0020180470,07.00 GS 2021,315.00000,21000.00000,1.50
9654,13-May-2019,IN0020090034,07.35 GS 2024,1226.12800,90168.02200,1.36
9655,13-May-2019,IN0020100015,07.80 GS 2020,978.93000,75000.00000,1.31
9656,13-May-2019,IN0020160035,06.97 GS 2026,1125.49300,91578.39300,1.23
9657,13-May-2019,IN0020160100,06.57 GS 2033,690.00000,66655.88700,1.04
9658,13-May-2019,IN0020120062,08.30 GS 2042,1074.15000,104529.44000,1.03
9659,13-May-2019,IN0020170042,06.68 GS 2031,876.57200,93251.70300,0.94
9660,13-May-2019,IN0020150051,07.73 GS 2034,911.80700,100000.00000,0.91
9661,13-May-2019,IN0020050012,07.40 GS 2035,799.20000,99245.00000,0.81
9662,13-May-2019,IN0020020106,07.95 GS 2032,940.35000,121000.00000,0.78
9663,13-May-2019,IN0020070036,08.26 GS 2027,560.00000,73728.00600,0.76
9664,13-May-2019,IN0020160068,07.06 GS 2046,747.23000,100000.00000,0.75
9665,13-May-2019,IN0020110055,08.97 GS 2030,666.50000,90000.00000,0.74
9666,13-May-2019,IN0020110063,08.83 GS 2041,627.50000,90000.00000,0.70
9667,13-May-2019,IN0020140078,08.17 GS 2044,598.38500,97000.00000,0.62
9668,13-May-2019,IN0020160118,06.79 GS 2029,626.98000,118801.12300,0.53
9669,13-May-2019,IN0020130053,09.20 GS 2030,270.05100,61884.55000,0.44
9670,13-May-2019,IN0020140052,08.24 GS 2033,389.11500,99275.00000,0.39
9671,13-May-2019,IN0020180017,06.65 GS 2020,149.00000,43545.96100,0.34
9672,13-May-2019,IN0020190016,07.27 GS 2026,25.00000,8000.00000,0.31
9673,13-May-2019,IN0020150044,08.13 GS 2045,265.00000,98000.00000,0.27
9674,13-May-2019,IN0020100031,08.30 GS 2040,178.25000,90000.00000,0.20
9675,13-May-2019,IN0020092071,GOI FRB 2020,15.00000,13000.00000,0.12
9676,13-May-2019,IN0020090042,06.90 GS 2019,30.36300,42840.00000,0.07
9677,13-May-2019,IN0020070044,08.32 GS 2032,55.00000,89434.05000,0.06
9678,13-May-2019,IN0020160092,06.62 GS 2051,30.00000,55000.00000,0.05
9679,13-May-2019,IN0020000025,10.70 GS 2020,1.55000,6000.00000,0.03
9680,13-May-2019,IN0020060086,08.28 GS 2032,30.00000,90687.11000,0.03
9681,10-May-2019,IN0020060078,08.24 GS 2027,5766.05500,111388.55000,5.18
9682,10-May-2019,IN0020150093,07.59 GS 2026,5862.90400,119000.00000,4.93
9683,10-May-2019,IN0020070051,08.13 GS 2022,3384.70000,70495.28000,4.80
9684,10-May-2019,IN0020120039,08.33 GS 2026,4124.51000,90000.00000,4.58
9685,10-May-2019,IN0020140045,08.40 GS 2024,4065.96100,90000.00000,4.52
9686,10-May-2019,IN0020150036,07.72 GS 2025,3561.73400,90031.81400,3.96
9687,10-May-2019,IN0020140060,08.15 GS 2026,3260.58000,86489.20600,3.77
9688,10-May-2019,IN0020150028,07.88 GS 2030,3325.01100,89000.00000,3.74
9689,10-May-2019,IN0020160050,06.84 GS 2022,3614.98100,99000.00000,3.65
9690,10-May-2019,IN0020120054,08.12 GS 2020,2563.19900,76000.00000,3.37
9691,10-May-2019,IN0020070069,08.28 GS 2027,2650.53300,90000.72100,2.95
9692,10-May-2019,IN0020140029,08.27 GS 2020,1951.09200,73000.00000,2.67
9693,10-May-2019,IN0020130038,07.28 GS 2019,1070.07900,41188.00000,2.60
9694,10-May-2019,IN0020120047,08.20 GS 2025,2252.91000,90000.00000,2.50
9695,10-May-2019,IN0020110071,08.19 GS 2020,1498.23300,74000.00000,2.02
9696,10-May-2019,IN0020180454,07.26 GS 2029,821.24100,40864.70200,2.01
9697,10-May-2019,IN0020020171,06.35 GS 2020,1200.01400,61000.00000,1.97
9698,10-May-2019,IN0020130079,09.23 GS 2043,1537.00000,79472.28000,1.93
9699,10-May-2019,IN0020160019,07.61 GS 2030,1636.22400,85000.00000,1.92
9700,10-May-2019,IN0020180470,07.00 GS 2021,315.00000,21000.00000,1.50
9701,10-May-2019,IN0020090034,07.35 GS 2024,1226.12800,90168.02200,1.36
9702,10-May-2019,IN0020100015,07.80 GS 2020,978.93000,75000.00000,1.31
9703,10-May-2019,IN0020160035,06.97 GS 2026,1125.49300,91578.39300,1.23
9704,10-May-2019,IN0020160100,06.57 GS 2033,690.00000,66655.88700,1.04
9705,10-May-2019,IN0020120062,08.30 GS 2042,1074.15000,104529.44000,1.03
9706,10-May-2019,IN0020170042,06.68 GS 2031,876.57200,93251.70300,0.94
9707,10-May-2019,IN0020150051,07.73 GS 2034,911.80700,100000.00000,0.91
9708,10-May-2019,IN0020050012,07.40 GS 2035,799.20000,99245.00000,0.81
9709,10-May-2019,IN0020020106,07.95 GS 2032,940.35000,121000.00000,0.78
9710,10-May-2019,IN0020070036,08.26 GS 2027,560.00000,73728.00600,0.76
9711,10-May-2019,IN0020160068,07.06 GS 2046,747.23000,100000.00000,0.75
9712,10-May-2019,IN0020110055,08.97 GS 2030,666.50000,90000.00000,0.74
9713,10-May-2019,IN0020110063,08.83 GS 2041,627.50000,90000.00000,0.70
9714,10-May-2019,IN0020140078,08.17 GS 2044,598.38500,97000.00000,0.62
9715,10-May-2019,IN0020160118,06.79 GS 2029,626.98000,118801.12300,0.53
9716,10-May-2019,IN0020130053,09.20 GS 2030,270.05100,61884.55000,0.44
9717,10-May-2019,IN0020140052,08.24 GS 2033,389.11500,99275.00000,0.39
9718,10-May-2019,IN0020180017,06.65 GS 2020,149.00000,43545.96100,0.34
9719,10-May-2019,IN0020190016,07.27 GS 2026,25.00000,8000.00000,0.31
9720,10-May-2019,IN0020150044,08.13 GS 2045,265.00000,98000.00000,0.27
9721,10-May-2019,IN0020100031,08.30 GS 2040,178.25000,90000.00000,0.20
9722,10-May-2019,IN0020092071,GOI FRB 2020,15.00000,13000.00000,0.12
9723,10-May-2019,IN0020090042,06.90 GS 2019,30.36300,42840.00000,0.07
9724,10-May-2019,IN0020070044,08.32 GS 2032,55.00000,89434.05000,0.06
9725,10-May-2019,IN0020160092,06.62 GS 2051,30.00000,55000.00000,0.05
9726,10-May-2019,IN0020000025,10.70 GS 2020,1.55000,6000.00000,0.03
9727,10-May-2019,IN0020060086,08.28 GS 2032,30.00000,90687.11000,0.03
9728,09-May-2019,IN0020060078,08.24 GS 2027,5766.05500,111388.55000,5.18
9729,09-May-2019,IN0020150093,07.59 GS 2026,5862.90400,119000.00000,4.93
9730,09-May-2019,IN0020070051,08.13 GS 2022,3384.70000,70495.28000,4.80
9731,09-May-2019,IN0020120039,08.33 GS 2026,4124.51000,90000.00000,4.58
9732,09-May-2019,IN0020140045,08.40 GS 2024,4065.96100,90000.00000,4.52
9733,09-May-2019,IN0020150036,07.72 GS 2025,3561.73400,90031.81400,3.96
9734,09-May-2019,IN0020140060,08.15 GS 2026,3260.58000,86489.20600,3.77
9735,09-May-2019,IN0020150028,07.88 GS 2030,3325.01100,89000.00000,3.74
9736,09-May-2019,IN0020160050,06.84 GS 2022,3614.98100,99000.00000,3.65
9737,09-May-2019,IN0020120054,08.12 GS 2020,2563.19900,76000.00000,3.37
9738,09-May-2019,IN0020070069,08.28 GS 2027,2650.53300,90000.72100,2.95
9739,09-May-2019,IN0020140029,08.27 GS 2020,1951.09200,73000.00000,2.67
9740,09-May-2019,IN0020130038,07.28 GS 2019,1070.07900,41188.00000,2.60
9741,09-May-2019,IN0020120047,08.20 GS 2025,2252.91000,90000.00000,2.50
9742,09-May-2019,IN0020110071,08.19 GS 2020,1498.23300,74000.00000,2.02
9743,09-May-2019,IN0020020171,06.35 GS 2020,1200.01400,61000.00000,1.97
9744,09-May-2019,IN0020130079,09.23 GS 2043,1537.00000,79472.28000,1.93
9745,09-May-2019,IN0020160019,07.61 GS 2030,1636.22400,85000.00000,1.92
9746,09-May-2019,IN0020180454,07.26 GS 2029,771.24100,40864.70200,1.89
9747,09-May-2019,IN0020180470,07.00 GS 2021,315.00000,21000.00000,1.50
9748,09-May-2019,IN0020100015,07.80 GS 2020,1078.93000,75000.00000,1.44
9749,09-May-2019,IN0020090034,07.35 GS 2024,1226.12800,90168.02200,1.36
9750,09-May-2019,IN0020160035,06.97 GS 2026,1125.49300,91578.39300,1.23
9751,09-May-2019,IN0020160100,06.57 GS 2033,690.00000,66655.88700,1.04
9752,09-May-2019,IN0020120062,08.30 GS 2042,1074.15000,104529.44000,1.03
9753,09-May-2019,IN0020170042,06.68 GS 2031,876.57200,93251.70300,0.94
9754,09-May-2019,IN0020150051,07.73 GS 2034,911.80700,100000.00000,0.91
9755,09-May-2019,IN0020050012,07.40 GS 2035,792.00000,99245.00000,0.80
9756,09-May-2019,IN0020020106,07.95 GS 2032,940.35000,121000.00000,0.78
9757,09-May-2019,IN0020070036,08.26 GS 2027,560.00000,73728.00600,0.76
9758,09-May-2019,IN0020160068,07.06 GS 2046,747.23000,100000.00000,0.75
9759,09-May-2019,IN0020110055,08.97 GS 2030,666.50000,90000.00000,0.74
9760,09-May-2019,IN0020110063,08.83 GS 2041,627.50000,90000.00000,0.70
9761,09-May-2019,IN0020140078,08.17 GS 2044,598.38500,97000.00000,0.62
9762,09-May-2019,IN0020160118,06.79 GS 2029,626.98000,118801.12300,0.53
9763,09-May-2019,IN0020130053,09.20 GS 2030,270.05100,61884.55000,0.44
9764,09-May-2019,IN0020140052,08.24 GS 2033,389.11500,99275.00000,0.39
